
Record#  PRONAME                        DES                     QTY      PRICE
      1  SOCQUETTE LAYETTE              1225456                   3      44.07
      2  SOCQUETTE LAYETTE              1225464                   3      44.07
      3  SOCQUETTE LAYETTE              1225472                   3      44.07
      4  SOCQUETTE LAYETTE              1225480                   3      44.07
      5  SOCQUETTE LAYETTE              1225545                   2      29.38
      6  SOCQUETTE LAYETTE              1225553                   2      29.38
      7  SOCQUETTE LAYETTE              1225561                   2      29.38
      8  SOCQUETTE LAYETTE              1225570                   2      29.38
      9  SOCQUETTE LAYETTE              1225723                   3      44.07
     10  SOCQUETTE LAYETTE              1225731                   3      44.07
     11  SOCQUETTE LAYETTE              1225740                   3      44.07
     12  SOCQUETTE LAYETTE              1225758                   3      44.07
     13  SOCQUETTE LAYETTE              1225812                   2      29.38
     14  SOCQUETTE LAYETTE              1225820                   2      29.38
     15  SOCQUETTE LAYETTE              1225839                   2      29.38
     16  SOCQUETTE LAYETTE              1225847                   2      29.38
     17  SOCQUETTE LAYETTE              1563521                   3      44.07
     18  SOCQUETTE LAYETTE              1563530                   3      44.07
     19  SOCQUETTE LAYETTE              1563548                   3      44.07
     20  SOCQUETTE LAYETTE              1563556                   3      44.07
     21  LOT DE DEUX CULOTTES           1292757                   2      41.12
     22  LOT DE DEUX CULOTTES           1292765                   2      41.12
     23  LOT DE DEUX CULOTTES           1292773                   2      41.12
     24  LOT DE DEUX CULOTTES           1292781                   2      41.12
     25  GUIMPE JERSEY                  1385844                   2      89.02
     26  GUIMPE JERSEY                  1385852                  10     445.10
     27  GUIMPE JERSEY                  1385860                   6     296.46
     28  GUIMPE JERSEY                  1385925                   2      89.02
     29  GUIMPE JERSEY                  1385933                   8     356.08
     30  GUIMPE JERSEY                  1385941                   6     296.46
     31  CHAUSSETTE                     1431919                   2      34.26
     32  CHAUSSETTE                     1431927                   2      34.26
     33  CHAUSSETTE                     1431935                   2      34.26
     34  CHAUSSETTE                     1432001                   2      34.26
     35  CHAUSSETTE                     1432010                   2      34.26
     36  CHAUSSETTE                     1432028                   2      34.26
     37  CHAUSSETTE                     1432095                   2      34.26
     38  CHAUSSETTE                     1432109                   2      34.26
     39  CHAUSSETTE                     1432117                   2      34.26
     40  CHAUSSETTE                     1463578                   2      34.26
     41  CHAUSSETTE                     1463586                   2      34.26
     42  CHAUSSETTE                     1463594                   2      34.26
     43  CHAUSSETTE ENFANT              1436694                   2      39.14
     44  CHAUSSETTE ENFANT              1436708                   2      39.14
     45  CHAUSSETTE ENFANT              1436759                   2      39.14
     46  CHAUSSETTE ENFANT              1436767                   2      39.14
     47  CHAUSSETTE ENFANT              1436813                   2      39.14
     48  CHAUSSETTE ENFANT              1436821                   2      39.14
     49  CHAUSSETTE ENFANT              1463659                   2      39.14
     50  CHAUSSETTE ENFANT              1463667                   2      39.14
     51  CARDIGAN TRICOT                1445774                   2     158.52
     52  CARDIGAN TRICOT                1445782                   2     158.52
     53  CARDIGAN TRICOT                1445790                   4     336.64
     54  CARDIGAN TRICOT                1445804                   3     252.48
     55  CARDIGAN TRICOT                1445812                   4     358.12
     56  COMBI MOLLETON                 1385348                   1      94.41
     57  COMBI MOLLETON                 1385356                   1      94.41
     58  COMBI MOLLETON                 1385364                   2     188.82
     59  COMBI MOLLETON                 1385372                   3     283.23
     60  COMBI MOLLETON                 1385380                   3     297.93
     61  CARDIGAN MOLLETON              1385682                   1      99.31
     62  CARDIGAN MOLLETON              1385690                   4     397.24
     63  CARDIGAN MOLLETON              1385704                   4     416.80
     64  SALOPETTE LONGUE               1403109                   2     198.62
     65  SALOPETTE LONGUE               1403117                   4     416.80
     66  SALOPETTE LONGUE               1403125                   4     416.80
     67  DORS BIEN                      1407430                   1      44.51
     68  DORS BIEN                      1407449                   1      44.51
     69  DORS BIEN                      1407457                   4     178.04
     70  DORS BIEN                      1407465                   4     197.64
     71  GRENOUILLERE                   1473905                   2      69.48
     72  GRENOUILLERE                   1473913                   3     104.22
     73  GUIMPE                         1507869                   2      98.82
     74  GUIMPE                         1507877                   4     197.64
     75  GUIMPE                         1507885                   4     217.20
     76  BARBOTEUSE                     1547941                   1     107.63
     77  BARBOTEUSE                     1547950                   3     322.89
     78  BARBOTEUSE                     1547968                   3     322.89
     79  BOB GARCON                     1550764                   3      88.08
     80  BOB GARCON                     1550780                   6     176.16
     81  BANDEAU                        1553216                   3      73.38
     82  MI CHAUSSETTE                  1563726                   3      66.03
     83  MI CHAUSSETTE                  1563734                   3      66.03
     84  MI CHAUSSETTE                  1563742                   3      66.03
     85  BRASSIERE CROISEE ML           1279050                  12     229.08
     86  BRASSIERE CROISEE ML           1279076                  12     229.08
     87  BRASSIERE CROISEE ML           1279319                   8     164.48
     88  BRASSIERE CROISEE ML           1279335                   8     164.48
     89  BODY CROISE                    1279513                  10     264.10
     90  BODY CROISE                    1279530                  12     316.92
     91  BODY CROISE                    1279599                   6     158.46
     92  BODY CROISE                    1279610                   8     211.28
     93  BODY COL VOLANTE               1279718                   2      73.38
     94  BODY COL VOLANTE               1279734                   4     146.76
     95  BODY COL VOLANTE               1279742                   6     231.84
     96  BODY COL VOLANTE               1279750                   6     231.84
     97  BRASSIERE US                   1279939                   2      38.18
     98  BRASSIERE US                   1279947                   2      38.18
     99  BRASSIERE US                   1279955                   4      76.36
    100  BRASSIERE US                   1279963                   6     114.54
    101  BRASSIERE US                   1518968                   2      38.18
    102  BRASSIERE US                   1518976                   2      38.18
    103  BRASSIERE US                   1518984                   2      38.18
    104  BRASSIERE US                   1518992                   2      38.18
    105  BRASSIERE US                   1520199                   2      38.18
    106  BRASSIERE US                   1520202                   2      38.18
    107  BRASSIERE US                   1520210                   2      38.18
    108  BRASSIERE US                   1520229                   2      38.18
    109  BODY MCHE COURTE               1280287                   8     164.48
    110  BODY MCHE COURTE               1280295                   8     164.48
    111  BODY MCHE COURTE               1280309                   8     164.48
    112  BODY MCHE COURTE               1280317                   8     164.48
    113  BODY MCHE COURTE               1288776                   6     138.00
    114  BODY MCHE COURTE               1288784                   6     138.00
    115  BODY MCHE COURTE               1288792                   6     138.00
    116  BODY MCHE COURTE               1288806                   6     138.00
